key,en,fr
title_pathway,Pathway indicators,Indicateurs de parcour
title_mob_measures,Net mobility indicators,Indicateurs de mobilité nette
title_mob_matrix,Interprovincial mobility origin and destination,Mobilité interprovinciale origine et destination
