key,en,fr
rs_trade_mem,Plumber [7251],Plombier/plombière [7251]
rs_trade_mem,Powerline technician [7244],Monteur/monteuse de lignes sous tension [7244]
rs_trade_mem,Refrigeration and air conditioning mechanic [7313],Mécanicien/mécanicienne en réfrigération et d'air climatisé [7313]
rs_trade_mem,Roofer [7291],Couvreur/couvreuse [7291]
rs_trade_mem,Sheet metal worker [7233],Ferblantier/ferblantière [7233]
rs_trade_mem,Steamfitter - pipefitter [7252],Monteur/monteuse d'appareils de chauffage [7252]
rs_trade_mem,Truck and transport mechanic [7321],Mécanicien/mécanicienne de camions et transport [7321]
rs_trade_mem,Welder [7237],Soudeur/soudeuse [7237]
trade_grp_mem,Other Red Seal trades,Autres métiers Sceau Rouge
trade_grp_mem,All non-Red Seal trades,Tous les métiers non-Sceau rouge
nrs_trade_mem,Child and youth worker [4212],Assistant social/assistante sociale auprès des jeunes [4212]
nrs_trade_mem,Developmental services worker [4212],Travailleur/travailleuse de services de développement [4212]
nrs_trade_mem,Early childhood educator [4214],Éducateur/éducatrice de la petite enfance [4214]
nrs_trade_mem,Educational assistant [4214],Aide-enseignant/aide-enseignante [4214]
nrs_trade_mem,Esthetician [6562],Esthéticien/esthéticienne [6562]
trade_grp_mem,Selected non-Red Seal trades,Métiers non-Sceau Rouge sélectionnés
trade_grp_mem,Other non-Red Seal trades,Autres métiers non-Sceau Rouge
trade_grp_lbl,Trade group,Groupe des métiers
rs_trade_lbl,Selected Red Seal trades,Métiers Sceau Rouge sélectionnés
nrs_trade_lbl,Selected non-Red Seal trades,Métiers non-Sceau Rouge sélectionnés
